#Planet ID;Name;GM (km3/s2);Radius (km);Semi-Major Axis (km);Eccentricity ();Inclination (deg);Longitude of the Ascending Node (deg);Argument of Periapsis (deg);Mean Anomaly at t=0 (deg);Weight ()
4;Cindrel;284441.708;5498.8;439627001.9;0.05;12;95.497;18.923;121.72;3
1000;Nyxar;0;0;596325410.9;0.077;10.591;80.301;73.809;154.607;5
5;Aurelios;49322760.29;63476.2;1119105767;0.07;0;220.319;116.863;64.82;7
6;Tharos;120377125.9;63661.4;2138564173;0.119;0.4;173.526;333.322;310.972;10
7;Glacior;6341816.256;23865.3;2622318886;0.15;5;209.17;16.367;199.109;15
8;Ashkara;6598433.391;13531.4;5115499189;0.095;15;33.723;107.462;158.153;20
9;Varuun;66346648.14;109471.2;10048973263;0.1;175;161.693;318;280.461;35
10;Xerion;3411912.397;12993.8;15955016885;0.345;40;341.693;30;133.427;50
;;;;;;;;;;
;;;;;;;;;;
;;;;   ;;;;;;
